date,CPI,CPI Food & Non Alcoholic Beverages,CPI Clothing & Footwears,CPI Housing & Furnishing,CPI Medical & Personal Care,CPI Transport & Communication,"CPI Recreation, Reading, Education and Religion",CPI Tobacco & Alcoholic Beverages,CPI Non Food & Beverages,Non Core CPI Raw Food and Energy,Non Core CPI Raw Food,Non Core CPI Energy,Core CPI,Meat (Fresh),Poultry (Fresh),Eggs
1997-01-01,60.0,45.3,85.5,82.2,71.0,60.3,89.6,39.5,72.0,37.0,34.0,40.3,72.0,,,
1997-02-01,60.4,45.7,85.5,82.5,71.2,60.3,89.7,39.4,72.1,37.7,34.7,40.1,72.2,,,
1997-03-01,60.7,45.9,85.5,83.1,71.4,60.6,89.7,39.3,72.4,38.1,35.1,41.4,72.3,,,
1997-04-01,60.8,46.2,85.6,83.3,71.5,60.9,89.7,39.3,72.6,38.4,35.3,41.5,72.4,,,
1997-05-01,61.0,46.1,86.7,83.4,71.2,61.3,92.3,39.3,73.0,38.2,35.2,41.1,72.7,,,
1997-06-01,61.1,46.2,86.8,83.5,71.5,61.2,93.3,39.4,73.1,38.1,35.1,41.0,73.0,,,
1997-07-01,61.5,46.8,87.0,83.5,71.5,61.2,93.3,39.4,73.2,39.0,35.9,40.9,73.3,,,
1997-08-01,63.1,49.1,87.1,83.7,72.4,62.5,93.5,40.9,73.9,41.9,39.0,42.4,74.0,,,
1997-09-01,63.4,49.1,89.2,84.3,72.5,63.2,93.9,41.5,74.5,41.9,38.6,44.1,74.5,,,
1997-10-01,64.0,49.1,90.0,85.1,72.9,64.2,94.0,44.3,75.6,41.7,37.8,46.5,75.4,,,
1997-11-01,64.4,49.1,90.8,86.8,73.7,65.4,94.6,45.5,76.7,41.8,37.5,49.0,76.2,,,
1997-12-01,64.4,48.9,91.2,86.9,74.1,65.8,94.8,45.6,77.1,41.5,37.2,49.4,76.3,,,
1998-01-01,65.2,49.6,91.7,87.3,75.4,66.4,95.5,45.6,77.6,42.2,37.8,49.8,77.0,,,
1998-02-01,65.8,50.4,91.9,87.4,75.8,66.6,95.8,45.8,77.9,43.2,39.1,50.0,77.3,,,
1998-03-01,66.3,51.2,93.1,87.6,76.5,66.9,96.6,47.1,78.4,43.6,40.2,48.8,78.0,,,
1998-04-01,66.8,51.6,93.3,88.3,77.2,67.2,96.6,47.7,78.9,44.3,41.0,48.7,78.5,,,
1998-05-01,67.2,52.0,93.8,88.5,77.6,67.8,97.0,48.4,79.4,45.0,41.7,49.3,78.7,,,
1998-06-01,67.5,52.3,94.4,88.8,78.3,67.6,97.5,49.6,79.7,45.1,42.1,48.7,79.1,,,
1998-07-01,67.6,52.3,94.9,88.9,78.9,67.6,97.6,49.7,79.8,44.8,41.9,47.9,79.3,,,
1998-08-01,67.9,52.7,94.5,89.4,79.1,67.6,97.6,50.0,79.9,45.0,42.1,48.1,79.7,,,
1998-09-01,67.7,52.5,94.7,89.6,79.5,66.6,97.6,50.0,79.8,44.4,41.9,46.6,79.8,,,
1998-10-01,67.6,52.1,94.9,89.7,80.1,66.9,97.6,50.2,80.0,43.8,41.0,46.9,80.1,,,
1998-11-01,67.3,51.7,95.1,89.8,80.2,66.5,97.6,50.2,79.9,43.1,40.2,46.0,80.1,,,
1998-12-01,67.2,51.7,95.1,89.4,80.0,65.6,97.7,50.2,79.6,42.2,40.0,43.9,80.1,,,
1999-01-01,67.3,51.8,95.3,89.7,80.2,66.2,98.2,50.1,79.9,42.3,39.8,44.2,80.5,,,
1999-02-01,67.4,52.0,95.4,89.6,80.4,65.9,98.3,50.1,79.8,42.5,40.2,43.9,80.5,,,
1999-03-01,67.2,51.6,95.7,89.8,80.5,66.3,98.2,50.0,80.0,41.9,39.4,44.4,80.5,,,
1999-04-01,67.2,51.4,94.6,88.9,80.2,66.5,97.9,49.5,79.6,41.9,39.1,45.0,80.1,,,
1999-05-01,66.8,51.3,94.6,87.8,80.1,66.8,96.8,49.5,79.3,41.4,39.0,43.8,80.1,,,
1999-06-01,66.7,51.3,94.6,87.8,80.2,66.3,96.9,49.6,79.1,41.2,39.0,43.0,80.1,,,
1999-07-01,66.9,51.1,94.6,87.8,80.5,67.3,96.9,50.3,79.6,41.2,38.6,44.2,80.2,,,
1999-08-01,67.2,51.1,95.1,88.4,80.5,68.5,97.0,50.5,80.1,41.8,38.4,46.6,80.4,,,
1999-09-01,67.2,51.0,95.1,88.5,80.4,69.1,97.2,50.6,80.3,41.9,38.2,47.6,80.4,,,
1999-10-01,67.2,50.8,95.1,88.6,80.9,69.6,97.2,51.5,80.6,41.9,37.9,48.3,80.5,,,
1999-11-01,67.3,51.0,95.2,88.7,81.4,69.7,97.2,51.4,80.8,42.0,38.2,48.1,80.6,,,
1999-12-01,67.6,50.8,95.4,89.9,81.8,70.2,97.2,51.2,81.2,42.5,38.0,50.8,80.6,,,
2000-01-01,67.8,50.9,95.6,90.0,81.9,70.6,97.2,51.4,81.5,43.0,38.3,51.3,80.7,,,
2000-02-01,68.1,51.1,95.7,90.0,82.0,71.5,97.2,51.4,81.8,43.6,38.7,52.6,80.7,,,
2000-03-01,68.1,51.0,95.7,89.9,82.0,72.5,97.2,50.6,82.1,43.7,38.4,54.5,80.7,,,
2000-04-01,67.9,50.7,95.7,90.1,82.4,71.3,97.0,50.7,81.7,43.1,37.9,52.5,80.7,,,
2000-05-01,68.0,50.5,95.9,90.1,82.7,72.4,97.0,50.5,82.1,43.2,37.8,53.5,80.7,,,
2000-06-01,68.1,50.4,96.1,90.1,82.6,73.7,97.0,50.6,82.5,43.3,37.4,55.0,80.9,,,
2000-07-01,68.2,50.4,96.1,90.1,82.7,74.2,97.0,50.6,82.7,43.4,37.4,55.9,80.9,,,
2000-08-01,68.7,51.0,96.2,90.2,82.7,74.8,97.1,50.6,83.0,44.6,38.4,57.4,80.9,,,
2000-09-01,68.8,51.1,96.2,90.2,82.7,75.5,97.1,50.5,83.3,45.0,38.7,58.3,81.0,,,
2000-10-01,68.6,50.4,96.2,89.9,83.0,75.7,97.1,50.5,83.3,43.9,37.6,57.2,81.1,,,
2000-11-01,68.7,50.5,96.2,90.2,83.7,75.8,97.1,50.5,83.4,44.4,37.7,58.4,81.2,,,
2000-12-01,68.7,50.4,96.3,90.2,83.9,75.8,97.2,50.6,83.5,43.9,37.5,57.8,81.3,,,
2001-01-01,68.8,50.7,96.3,90.2,83.9,75.5,97.2,50.7,83.4,44.1,38.0,56.4,81.4,,,
2001-02-01,69.1,50.8,96.4,91.5,83.9,76.1,97.2,50.9,84.1,44.8,38.0,59.5,81.5,,,
2001-03-01,69.1,50.9,96.5,91.5,84.1,76.0,97.2,50.9,84.1,45.0,38.2,59.4,81.5,,,
2001-04-01,69.6,51.2,96.7,91.6,84.2,76.7,97.2,54.8,84.6,45.8,38.9,60.4,81.9,,,
2001-05-01,69.8,51.2,96.9,91.6,84.3,77.6,98.2,55.0,85.1,46.2,39.0,61.9,82.0,,,
2001-06-01,69.6,51.0,96.9,91.7,84.5,76.8,98.7,55.0,85.0,45.4,38.4,60.4,82.1,,,
2001-07-01,69.6,51.3,96.9,91.9,84.5,75.8,98.7,54.8,84.7,45.5,39.1,58.8,82.1,,,
2001-08-01,69.6,51.4,97.0,90.8,84.6,75.8,98.7,54.8,84.3,45.0,39.1,56.8,82.1,,,
2001-09-01,69.8,51.1,97.2,91.9,84.5,76.8,98.6,54.8,85.0,45.7,38.7,60.6,82.1,,,
2001-10-01,69.5,51.0,97.2,91.6,84.5,75.5,98.4,55.0,84.5,44.7,38.4,57.8,82.2,,,
2001-11-01,69.3,51.1,97.2,91.7,84.9,74.0,98.4,55.0,84.1,44.3,38.7,55.1,82.2,,,
2001-12-01,69.1,50.8,97.2,91.6,84.9,73.9,98.4,55.0,84.1,43.6,38.0,54.9,82.2,,,
2002-01-01,69.3,51.0,97.2,91.6,84.9,74.2,98.6,55.0,84.2,44.0,38.4,55.3,82.2,,,
2002-02-01,69.4,51.0,97.2,91.6,85.0,74.8,98.6,55.0,84.4,44.3,38.4,56.1,82.2,,,
2002-03-01,69.5,51.0,97.2,91.6,85.1,76.0,98.6,55.0,84.7,44.7,38.4,57.7,82.3,,,
2002-04-01,69.9,51.1,97.2,91.5,85.1,77.8,98.6,55.0,85.3,45.7,38.5,60.1,82.3,,,
