year,level,province_en,Total Labor Force,"Agriculture, forestry and fishing",Mining and quarrying,Manufacturing,"Electricity, gas, steam and air conditioning supply","Water supply; sewerage, waste management and remediation activities",Construction,Wholesale and retail trade and repair of motor vehicles and motorcycle,Transportation and storage,Accommodation and food service activities,Information and communication,Financial and insurance activities,Real estate activities,"Professional, scientific and technical activities",Administrative and support service activities,Public administration and defence; compulsory social security,Education,Human health and social work activities,"Arts, entertainment and recreation",Other service activities,Activities of households as employers,Activities of extraterritorial organizations and bodies,Unknown
2011,Whole Kingdom,Whole Kingdom,38870175,15728587,40965,5149823,107035,71768,2061720,6133756,948267,2390625,191753,399955,97302,247841,378071,1712141,1314832,653550,214621,744940,249140,2673,30809
2011,Regional,Central,9395160,2399341,14108,2386891,37147,18537,491678,1552218,329498,731084,41525,97890,30418,47285,122122,375771,247188,143900,78205,183256,53653,127,13317
2011,Provincial,Ratchaburi,520056,147022,431,127275,1644,949,29661,96819,7425,39756,1609,4094,446,2448,5653,20305,13873,6916,2290,9168,2270,0,0
2012,Whole Kingdom,Whole Kingdom,39586870,16329142,74754,5245642,96624,72059,2352198,6079555,908361,2377871,207357,416765,126356,247851,390892,1674816,1223426,668146,221830,610196,232927,2677,27424
2012,Regional,Central,9628894,2382462,20170,2587609,34791,25065,547103,1549476,298974,695315,48926,107798,46526,56341,116598,396193,260063,143624,63428,181593,54997,351,11490
2012,Provincial,Ratchaburi,508448,179916,678,120610,2874,1356,26937,76306,7784,27587,2916,3708,1836,968,2328,19005,7994,10001,1926,10818,2900,0,0
2013,Whole Kingdom,Whole Kingdom,39087021,16260640,74609,5290764,97174,86310,2318852,5856915,963891,2225338,195971,455843,128072,267824,372178,1606184,1172515,646445,223072,615980,190183,2163,36098
2013,Regional,Central,9534633,2421471,15628,2566915,27556,35263,537075,1487599,342473,633472,42315,116462,39601,58703,114634,389625,252033,160212,69851,171729,37726,263,14028
2013,Provincial,Ratchaburi,524448,180854,336,121208,2575,2359,34873,81680,8686,26995,3045,5471,2079,669,2346,17011,8779,10082,4908,8128,2362,0,0
2014,Whole Kingdom,Whole Kingdom,38262059,13036545,65847,6474004,135446,102390,2152764,6081614,1229341,2567662,246129,526237,166079,315588,492449,1597155,1167172,690067,221786,729636,213539,4438,46175
2014,Regional,Central,11556104,2243307,18377,3553758,43306,44357,624382,1895572,470619,835917,64639,137139,72491,88974,168092,420580,305336,191071,83462,230993,59406,0,4326
2014,Provincial,Ratchaburi,458051,132258,401,113671,3376,2387,27037,74230,7031,28382,942,3328,782,2627,2798,20785,14934,9608,3195,9692,587,0,0
2015,Whole Kingdom,Whole Kingdom,38370985,12940701,82914,6409593,104645,83640,2047340,6101036,1226705,2669395,232412,545546,200157,359651,579744,1599250,1196493,722338,234082,741067,233278,2765,58233
2015,Regional,Central,11641356,2169433,30046,3567379,40970,31514,644392,1901317,463382,858010,56845,130272,69027,126474,203283,425454,329655,198628,77918,247898,62406,0,7052
2015,Provincial,Ratchaburi,457999,138398,1278,79314,1379,1696,26153,77853,13092,29470,180,6108,1397,3830,2733,28808,19841,10039,3084,11993,1353,0,0
2016,Whole Kingdom,Whole Kingdom,37429716,12169756,60823,6129820,115497,92243,2050814,6218398,1189180,2671131,233346,544772,184256,378941,612212,1525575,1212418,699029,217482,812208,224756,3217,83843
2016,Regional,Central,11513136,2063281,17743,3503951,47534,29852,648134,1912139,476374,877717,55218,149715,61101,81159,193818,434053,331818,204248,86145,272976,47054,0,19105
2016,Provincial,Ratchaburi,460364,115813,204,96354,561,646,32031,97456,9106,33436,1505,6045,1312,1143,2197,21778,16311,7677,1847,11963,2979,0,0
2017,Whole Kingdom,Whole Kingdom,37204585,11930754,56676,6022383,126665,75532,1962341,6219635,1236212,2853658,242531,538672,200237,366568,616950,1507389,1186798,726299,234705,789701,221408,2434,87037
2017,Regional,Central,11421646,2033379,26675,3323858,46120,21939,622250,1963829,477443,960425,61052,150167,68623,82297,217559,448643,320791,204990,89662,250658,41999,0,9286
2017,Provincial,Ratchaburi,465574,126775,648,102397,697,328,29873,101356,6696,37665,2407,4268,859,2479,3697,14838,11181,6161,2713,8632,1907,0,0
2018,Whole Kingdom,Whole Kingdom,37911238,12216508,69763,6299912,117052,62170,2060919,6315515,1268695,2853103,210782,504837,208324,374996,556218,1625741,1140333,614468,264196,880821,205727,6064,55096
2018,Regional,Central,11744435,2037112,27287,3539227,31117,25822,645231,2034611,486277,968358,60502,142007,72739,86007,176548,471209,312002,175109,101659,290841,53648,1365,5755
2018,Provincial,Ratchaburi,451167,124927,1424,99181,474,349,23385,87256,11007,43285,1058,3193,0,2100,3412,16405,12798,7606,4213,7155,1940,0,0
2019,Whole Kingdom,Whole Kingdom,37482924,12026473,60453,6054953,129744,93266,2064862,6322683,1270189,2832514,209860,508688,219796,358360,627495,1552771,1103505,630117,278480,856991,221766,3969,55991
2019,Regional,Central,11803811,2029874,15710,3395531,41873,29701,652141,2021837,521015,1040114,60493,143598,71412,115840,251226,438818,300190,189948,121039,292625,54779,1282,14765
2019,Provincial,Ratchaburi,444604,100965,529,104590,1851,0,24587,86172,13651,46291,0,2893,1343,1120,6908,15580,12267,8539,4247,10759,2311,0,0
2020,Whole Kingdom,Whole Kingdom,38288835,12433463,119317,5909884,137499,122426,2250797,6309607,1336949,2900847,209832,526458,256532,399514,514500,1612674,1167355,720758,245540,807134,239094,5159,63495
2020,Regional,Central,11998720,2085725,37914,3338348,58195,43592,725825,2078120,597360,1029430,63089,167007,76291,107414,203847,435316,328210,224547,80939,251945,49376,0,16233
2020,Provincial,Ratchaburi,449296,106618,958,83905,3717,1657,36341,99448,8853,47510,1457,3860,443,3028,5207,12607,11612,10806,2037,7057,2175,0,0
2021,Whole Kingdom,Whole Kingdom,37898725.24,12596670.92,48394.34,5837949.42,120357.96,91808.63,2096067.06,6353938.86,1331295.15,2671459.58,217458.89,511534.24,249085.89,421477.61,489564.45,1574021.51,1106562.15,745334.01,233052.3,922183.85,231524.69,3607.5,45376.2
2021,Regional,Central,11901722.49,2078366.84,15832.04,3463019.6,58720.17,41564.55,654180.19,2113741.66,558780.32,918167.96,66624.05,157899.95,76546.04,110134.02,173999.97,443759.68,328159.72,202984.8,76335,297036.92,53773.17,0,12095.84
2021,Provincial,Ratchaburi,442805.76,127502.61,3103.42,85995.21,1741.7,3799.75,37837.26,82126.56,7420.62,36527.39,1239.77,6435.79,0,1751.31,3272.35,14206.95,12100.24,7088.26,2132.39,6964.81,1559.38,0,0
2011,Provincial,Kanchanaburi,481795,219859,867,64421,1108,1998,26267,71486,7750,32655,1135,4926,480,365,717,12896,10907,9246,1765,11335,1486,127,0
2011,Provincial,Phetchaburi,283827,89206,1043,40335,1279,427,17926,49161,4762,23006,1665,5109,1412,1084,3208,14650,10028,3924,5434,8303,1865,0,0
2011,Provincial,Prachuap Khiri Khan,311502,127108,365,29137,506,56,20422,54062,4387,32445,1511,960,2056,847,4042,9958,7190,4761,2015,6713,2959,0,0
2011,Provincial,Tak,312100,174173,974,21655,525,0,13778,46037,3861,8377,0,374,0,890,584,16618,11009,7740,216,3775,1005,512,0
2012,Provincial,Kanchanaburi,506829,278763,3834,43389,1850,687,28116,67997,4663,26486,216,4552,770,809,1599,14141,12560,5310,2771,7137,1178,0,0
2012,Provincial,Phetchaburi,285296,98144,2722,35817,0,570,15685,53755,6672,20217,1522,3662,816,1215,3744,14797,9335,4275,3027,7854,1469,0,0
2012,Provincial,Prachuap Khiri Khan,309252,106210,1200,32480,905,443,20000,52896,5757,41316,1001,1188,1212,1292,1464,12473,11181,5389,2097,6714,4033,0,0
2012,Provincial,Tak,315404,170341,136,23668,752,761,21518,36472,5860,12896,81,1692,488,427,1653,20730,7866,4483,713,2678,2107,85,0
2013,Provincial,Kanchanaburi,515415,296745,922,39991,1962,399,21536,64532,5535,28737,498,2953,1070,1269,1886,17752,12707,5248,2923,7376,1375,0,0
2013,Provincial,Phetchaburi,287075,93435,846,42937,385,756,18510,52355,4567,24187,1062,3351,1464,1035,3597,14370,9764,3821,2514,7469,653,0,0
2013,Provincial,Prachuap Khiri Khan,307909,108510,206,33854,1336,1567,24893,57170,6173,33482,1257,2198,769,2443,1683,9514,8219,4932,1891,5626,2185,0,0
2013,Provincial,Tak,301112,150400,0,23001,1869,1671,15015,41988,6306,14226,297,2159,0,1248,1180,22760,6471,3593,2582,5164,1096,86,0
2014,Provincial,Kanchanaburi,466102,200625,226,54114,3712,1504,24136,80987,6924,31401,1015,4251,455,1722,8329,14974,10720,4882,4259,9621,2244,0,0
2014,Provincial,Phetchaburi,292835,89106,0,43350,894,885,18018,61166,3445,28808,1312,3496,2192,576,1251,10995,11226,4737,3229,6949,1201,0,0
2014,Provincial,Prachuap Khiri Khan,279216,91493,225,33545,679,842,24795,53343,4717,30841,934,2000,1092,2000,1079,9888,7133,4702,2189,5923,1795,0,0
