province_en_nesdc,province_en
AMNAT CHAREON,Amnat Charoen
ANG THONG,Ang Thong
BANGKOK METROPOLIS,Bangkok
BUENG KAN,Bueng Kan
BURI RAM,Buriram
CHACHOENGSAO,Chachoengsao
CHAI NAT,Chai Nat
CHAIYAPHUM,Chaiyaphum
CHANTHABURI,Chanthaburi
CHIANG MAI,Chiang Mai
CHIANG RAI,Chiang Rai
CHON BURI,Chonburi
CHUMPHON,Chumphon
KALASIN,Kalasin
KAM PHAENG PHET,Kamphaeng Phet
KANCHANABURI,Kanchanaburi
KHON KAEN,Khon Kaen
KRABI,Krabi
LAMPANG,Lampang
LAMPHUN,Lamphun
LOEI,Loei
LOP BURI,Lopburi
MAE HONG SON,Mae Hong Son
MAHA SARAKHAM,Maha Sarakham
MUKDAHAN,Mukdahan
NAKHON NAYOK,Nakhon Nayok
NAKHON PATHOM,Nakhon Pathom
NAKHON PHANOM,Nakhon Phanom
NAKHON RATCHASIMA,Nakhon Ratchasima
NAKHON SAWAN,Nakhon Sawan
NAKHON SI THAMMARAT,Nakhon Si Thammarat
NAN,Nan
NARATHIWAT,Narathiwat
NONG KHAI,Nong Khai
NONGBUA LAMPHU,Nong Bua Lamphu
NONTHABURI,Nonthaburi
PATHUM THANI,Pathum Thani
PATTANI,Pattani
PHACHUAP KHIRI KHAN,Prachuap Khiri Khan
PHANGNGA,Phang Nga
PHATTHALUNG,Phatthalung
PHAYAO,Phayao
PHETCHABUN,Phetchabun
PHETCHABURI,Phetchaburi
PHICHIT,Phichit
PHITSANULOK,Phitsanulok
PHRA NAKHON SRI AYUTHAYA,Phra Nakhon Si Ayutthaya
PHRAE,Phrae
PHUKET,Phuket
PRACHIN BURI,Prachinburi
RANONG,Ranong
RATCHABURI,Ratchaburi
RAYONG,Rayong
ROI ET,Roi Et
SA KAEW,Sa Kaeo
SAKON NAKHON,Sakon Nakhon
SAMUT PRAKAN,Samut Prakan
SAMUT SAKHON,Samut Sakhon
SAMUT SONGKHRAM,Samut Songkhram
SARABURI,Saraburi
SATUN,Satun
SI SA KET,Sing Buri
SINGBURI,Sisaket
SONGKHLA,Songkhla
SUKHOTHAI,Sukhothai
SUPHAN BURI,Suphan Buri
SURAT THANI,Surat Thani
SURIN,Surin
TAK,Tak
TRANG,Trang
TRAT,Trat
UBON RATCHATHANI,Ubon Ratchathani
UDON THANI,Udon Thani
UTHAI THANI,Uthai Thani
UTTARADIT,Uttaradit
YALA,Yala
YASOTHON,Yasothon
