year,province_en,level,province_th,number_of_projects,total_investment,registered_capital,registered_capital_thais,registered_capital_foreigners,employment_thais,employment_foreigners
2015,Central,Regional,ภาคกลาง,442,53275.8,9871.8,6712.4,3159.4,27295,1931
2015,Bangkok,Provincial,กรุงเทพมหานคร,267,14845.2,4381.9,2563.4,1818.5,6821,1436
2015,Chai Nat,Provincial,ชัยนาท,1,100,0,0,0,35,0
2015,Nakhon Pathom,Provincial,นครปฐม,7,1118.3,132,129,3,116,1
2015,Nonthaburi,Provincial,นนทบุรี,12,561.7,36548,37642,1.7,204,4
2015,Pathum Thani,Provincial,ปทุมธานี,33,3254.5,338.2,187.1,151.1,1080,76
2015,Phra Nakhon Si Ayutthaya,Provincial,พระนครศรีอยุธยา,18,15948.9,136.3,1,135.2,7985,84
2015,Lopburi,Provincial,ลพบุรี,6,1439.7,402.5,318.2,84.4,355,1
2015,Samut Prakan,Provincial,สมุทรปราการ,64,5988.3,1335.2,412.2,923.1,7032,268
2015,Samut Sakhon,Provincial,สมุทรสาคร,19,5645.7,738,710.5,27.5,2663,38
2015,Saraburi,Provincial,สระบุรี,12,2925.2,225.6,210.6,15,869,19
2015,Sing Buri,Provincial,สิงห์บุรี,1,200.2,0,0,0,90,2
2015,Ang Thong,Provincial,อ่างทอง,2,1248.1,1158.1,1158.1,0,45,2
2015,Western,Regional,ภาคตะวันตก,72,23633.8,17386.9,16762.3,624.5,36945,47
2015,Kanchanaburi,Provincial,กาญจนบุรี,12,3611.1,1605,1484.7,120.3,799,21
2015,Prachuap Khiri Khan,Provincial,ประจวบคีรีขันธ์,11,3527.5,2758,2340.6,417.4,142,4
2015,Phetchaburi,Provincial,เพชรบุรี,35,12614.5,12563.1,12560.7,2.5,432,7
2015,Ratchaburi,Provincial,ราชบุรี,11,3108.1,114,114,0,635,15
2015,Samut Songkhram,Provincial,สมุทรสงคราม,1,267.2,65.6,65.6,0,2,0
2015,Suphan Buri,Provincial,สุพรรณบุรี,2,505.4,281.2,196.8,84.4,14,0
2015,Eastern,Regional,ภาคตะวันออก,265,78460.4,31907.1,23011.8,8895.3,17557,910
2015,Chanthaburi,Provincial,จันทบุรี,2,604,155,81.5,73.5,136,2
2015,Chachoengsao,Provincial,ฉะเชิงเทรา,21,3761.2,864.4,339.8,524.6,2535,43
