level,province_nesdc_en,type,sector,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Provincial,KHON KAEN,Current Market Prices,Agriculture,4743.874671,5547.838501,5412.58741,6236.181301,5763.728752,6038.619788,6771.884237,7269.837247,8430.72128,9013.672268,9002.299285,11101.83648,12632.70799,13014.45993,15829.12727,17318.68458,19565.08667,22517.57649,26360.39999,22922.84399,20526.97847,20989.26826,21670.33814,22912.35918,21140.90988,20309.62254
Provincial,KHON KAEN,Current Market Prices,Agriculture,4743.874671,5547.838501,5412.58741,6236.181301,5763.728752,6038.619788,6771.884237,7269.837247,8430.72128,9013.672268,9002.299285,11101.83648,12632.70799,13014.45993,15829.12727,17318.68458,19565.08667,22517.57649,26360.39999,22922.84399,20526.97847,20989.26826,21670.33814,22912.35918,21140.90988,20309.62254
Provincial,KHON KAEN,Current Market Prices,"Agriculture, forestry and fishing",4743.874671,5547.838501,5412.58741,6236.181301,5763.728752,6038.619788,6771.884237,7269.837247,8430.72128,9013.672268,9002.299285,11101.83648,12632.70799,13014.45993,15829.12727,17318.68458,19565.08667,22517.57649,26360.39999,22922.84399,20526.97847,20989.26826,21670.33814,22912.35918,21140.90988,20309.62254
Provincial,KHON KAEN,Current Market Prices,Non-Agriculture,46980.82201,53137.19596,59957.02254,55279.96147,59390.22217,57362.87171,57923.45384,63592.55059,69818.97752,76043.6079,79076.6202,95121.62678,102465.4115,113794.9896,126496.3986,134661.2246,140955.3966,163504.957,158871.4853,163278.8212,169431.0029,175078.6353,182380.3548,191029.7931,193628.8651,188162.7349
Provincial,KHON KAEN,Current Market Prices,Industrial,15237.61828,15909.88066,21655.36863,21376.54054,23357.47708,21719.24298,20541.53645,23455.53697,27367.29918,29874.65944,30374.78776,42639.70954,45580.0069,54078.60083,58525.97851,64324.63185,65384.98675,76695.74939,72751.40817,77641.59486,75856.49123,73558.17151,75157.71204,78368.4012,75108.09362,67617.93177
Provincial,KHON KAEN,Current Market Prices,Mining and quarrying,1279.474387,1547.381963,2178.324167,2620.98918,2481.549296,2239.720388,2257.695992,2185.470297,1899.297709,1467.011829,1408.634265,1607.995492,1427.46894,1442.407644,1481.312001,1303.829094,1408.303307,1351.078451,1269.587994,1171.869022,1286.310661,1206.337685,951.286445,1149.172201,1275.169382,1145.584464
Provincial,KHON KAEN,Current Market Prices,Manufacturing,12628.78175,13139.54702,18114.97439,17141.14844,19433.00319,17986.13193,16803.12468,19798.68027,23939.12801,26683.51828,27148.60969,39049.05798,42159.15808,50641.19222,54662.76042,60535.6985,61490.14148,72475.42132,68298.56062,73084.37227,71144.94654,68841.20891,70617.76423,73243.86091,69536.67679,62288.41242
Provincial,KHON KAEN,Current Market Prices,"Electricity, gas, steam and air conditioning supply",1118.135832,988.199887,1107.770905,1361.495431,1166.459207,1187.124882,1178.299142,1193.788959,1237.237644,1431.972247,1514.478552,1664.396382,1678.785845,1661.209006,1963.346659,2053.049328,2039.260268,2337.680713,2562.064285,2710.301423,2687.89212,2745.525734,2810.15279,3209.76879,3530.46479,3419.928013
Provincial,KHON KAEN,Current Market Prices,"Water supply; sewerage, waste management and remediation activities",211.226313,234.75179,254.299165,252.907489,276.46539,306.265787,302.416643,277.597448,291.635819,292.157087,303.065257,318.259683,314.594037,333.791963,418.559429,432.054927,447.281692,531.56891,621.195267,675.052141,737.341913,765.099185,778.50858,765.599295,765.782661,764.006869
Provincial,KHON KAEN,Current Market Prices,Services,31743.20373,37227.31531,38301.65391,33903.42093,36032.74509,35643.62873,37381.91739,40137.01361,42451.67834,46168.94846,48701.83244,52481.91724,56885.40463,59716.38879,67970.42007,70336.59278,75570.40981,86809.20764,86120.07715,85637.22633,93574.51167,101520.4638,107222.6428,112661.3919,118520.7715,120544.8031
