level,name_en,name_th,2015,2016,2017,2018,2019,2020,2021
Regional,Whole Kingdom,ทั่วราชอาณาจักร,0.606918976,0.602968186,0.611361818,0.626081827,0.635653418,0.646631386,0.641076697
Provincial,Bangkok,กรุงเทพมหานคร,0.630913736,0.606909039,0.650228409,0.666579906,0.67623798,0.683905071,0.665568545
Regional,Central (Except Bangkok),ภาคกลาง ไม่รวมกรุงเทพฯ,0.612305194,0.601728551,0.615742797,0.63137807,0.64242066,0.661205826,0.657881391
Provincial,Samut Prakan,สมุทรปราการ,0.602415247,0.582163269,0.591858489,0.607611906,0.614188026,0.623418499,0.611140492
Provincial,Nonthaburi,นนทบุรี,0.649619225,0.629063394,0.647893208,0.68125425,0.682647732,0.68622587,0.66854532
Provincial,Pathum Thani,ปทุมธานี,0.659333333,0.603065302,0.645999424,0.659033147,0.65378724,0.668850834,0.672529859
Provincial,Nakhon Pathom,นครปฐม,0.621901974,0.613495804,0.629089179,0.640506818,0.650848336,0.674604074,0.674010741
Provincial,Samut Sakhon,สมุทรสาคร,0.551407854,0.550675374,0.57617226,0.609049215,0.62615964,0.613356154,0.607574646
Provincial,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,0.638376433,0.627645223,0.624667218,0.648365932,0.68202993,0.689179207,0.689319514
Provincial,Ang Thong,อ่างทอง,0.577418183,0.559261887,0.583142229,0.612426695,0.633842587,0.63899208,0.652610767
Provincial,Lopburi,ลพบุรี,0.59951159,0.600465873,0.602213985,0.622286587,0.621033805,0.651361205,0.650209064
Provincial,Sing Buri,สิงห์บุรี,0.620872639,0.593884479,0.616311395,0.610581223,0.652130561,0.666288312,0.672478933
Provincial,Chai Nat,ชัยนาท,0.557661602,0.553829658,0.57676483,0.590875498,0.616265649,0.607959081,0.625404161
Provincial,Saraburi,สระบุรี,0.602019645,0.598914228,0.596885955,0.630658071,0.63523241,0.636349952,0.633328955
Provincial,Ratchaburi,ราชบุรี,0.603138528,0.594599974,0.613150284,0.626764976,0.637267467,0.646708959,0.654241619
Provincial,Kanchanaburi,กาญจนบุรี,0.579714443,0.578866221,0.600464371,0.601431643,0.621649831,0.6245439,0.63949287
Provincial,Suphan Buri,สุพรรณบุรี,0.587573144,0.595001929,0.605552016,0.620580966,0.617052479,0.643459306,0.649853805
Provincial,Samut Songkhram,สมุทรสงคราม,0.62791443,0.614636177,0.624013236,0.631162242,0.647560611,0.652268186,0.647116741
Provincial,Phetchaburi,เพชรบุรี,0.591999753,0.608111897,0.608108306,0.618485844,0.659305768,0.661910723,0.655945703
