,capu_sa,capu,mpi_sa,mpi
2016-01-01,64.89210409,67.07421645,96.95843365,100.3064247
2016-02-01,66.82286729,68.2797012,100.7387872,103.3825197
2016-03-01,66.52870796,72.84063986,100.2782002,111.6451553
2016-04-01,67.18694655,61.54338336,100.6820079,91.21268068
2016-05-01,65.65764442,66.27247513,98.70215859,100.5070378
2016-06-01,67.34718218,66.585282,101.0358467,101.272014
2016-07-01,65.85556273,64.30932493,98.60222648,96.91760696
2016-08-01,66.88523497,65.7242072,101.4528749,99.61304591
2016-09-01,67.44324657,66.92441753,102.3250295,101.1019896
2016-10-01,66.62434241,66.0644094,100.36154,97.60981045
2016-11-01,66.15628958,66.48026325,98.10752053,98.65353763
2016-12-01,65.42363694,64.69044482,99.90525136,97.77865739
2017-01-01,65.42410168,67.27652567,98.71225763,101.8910268
2017-02-01,65.17661447,66.47385404,98.74915649,101.4440232
2017-03-01,66.75248262,73.0102346,101.6292081,113.3818841
2017-04-01,65.7735269,60.57577656,99.51863288,90.46789875
2017-05-01,67.35133629,67.97231778,101.5108415,102.9827121
2017-06-01,67.54939273,66.74349701,101.5987547,101.4450434
2017-07-01,67.26698768,65.60713183,100.5517277,98.49754132
2017-08-01,69.26968829,68.39222387,104.2045951,102.6859898
2017-09-01,68.31296013,67.97627989,103.1853893,102.3316525
2017-10-01,66.22545295,65.78166413,100.1148581,98.8261169
2017-11-01,68.89062021,69.4547635,103.6633969,104.3790653
2017-12-01,68.03700189,67.16157508,103.8385939,101.9960626
2018-01-01,67.87655472,69.698304,103.3916591,107.4457747
2018-02-01,68.34116829,69.47767929,104.2570517,106.6292783
2018-03-01,69.30519938,75.7087814,105.794206,118.8258918
2018-04-01,67.3350197,61.96438472,103.5659996,94.03577499
2018-05-01,69.29517313,69.98811361,107.0235151,108.2473579
2018-06-01,69.76872848,68.96287687,107.5489523,106.4616237
2018-07-01,69.44030533,67.56555173,107.3554017,103.6547457
2018-08-01,69.03425268,68.26640862,108.6970086,105.6133944
2018-09-01,67.4321296,66.98254278,105.4205459,102.5617972
2018-10-01,69.21182991,68.73121669,107.646956,104.6874858
2018-11-01,68.41868726,69.2574068,108.4184689,105.8654872
2018-12-01,67.22265434,66.44432433,104.0070727,103.3185337
2019-01-01,67.65758296,69.49045358,104.0163247,108.7741808
2019-02-01,66.95470649,68.01227555,103.3218407,105.9889588
2019-03-01,67.52379066,73.75285617,103.5861891,116.3177611
2019-04-01,68.22455269,62.67143515,105.3686738,95.75623335
2019-05-01,66.79123089,67.49984963,103.7269697,104.9790849
2019-06-01,65.01065399,64.28284348,101.9624788,100.8975885
2019-07-01,66.69403034,64.58979425,104.5456487,100.5215769
2019-08-01,65.56605803,64.82789987,103.2024469,100.7084689
2019-09-01,63.63863437,63.15858575,99.81509063,97.35894481
2019-10-01,61.96937974,61.4408282,99.36570748,96.43715473
2019-11-01,61.44887513,62.16961037,98.17424166,97.31130117
2019-12-01,62.95476231,62.24962088,98.98603622,98.54896343
2020-01-01,64.88506216,66.64125566,100.1382938,104.9419042
2020-02-01,63.66567413,64.55822003,99.3426379,100.5145201
2020-03-01,61.30862662,66.75413907,94.12221365,103.4856828
2020-04-01,53.40718857,50.32257711,82.67729395,77.2082041
2020-05-01,50.93784124,51.42988752,78.7255969,79.48308906
2020-06-01,55.18370499,54.62671099,83.02937221,82.70596709
2020-07-01,58.30060594,56.40936449,89.04341488,86.72834848
2020-08-01,60.33027517,59.57507742,92.1736495,91.20745992
2020-09-01,62.72767053,62.2500441,95.31085179,94.38556973
2020-10-01,62.75493109,62.24134145,97.67388102,94.90906173
2020-11-01,62.57346085,63.59654091,96.34660585,96.33086535
2020-12-01,63.30697598,62.53720426,96.81959421,95.87888347
2021-01-01,63.51842419,65.33238205,97.78456982,102.387726
2021-02-01,63.02549863,63.95575966,97.33464076,99.26846733
2021-03-01,63.92187921,69.67772298,99.34955549,109.4457526
2021-04-01,64.02153225,59.29539457,98.88856972,91.27281095
2021-05-01,64.28585697,64.91029861,99.04550162,100.1698438
2021-06-01,64.37470573,63.75464878,99.16765267,98.12091986
2021-07-01,60.15482963,58.10185022,93.02946293,89.97675768
2021-08-01,57.01981657,56.27810498,87.99336707,86.69522726
2021-09-01,61.56385235,61.14311824,95.91054656,94.71872646
2021-10-01,63.64136418,63.11589232,99.16131167,97.50544533
2021-11-01,64.16503371,65.16557004,100.0878669,100.7522304
2021-12-01,65.98272423,65.23665016,103.4775663,102.2625386
2022-01-01,63.84541091,65.68849131,99.72882353,104.4590166
2022-02-01,63.60603589,64.58346657,99.77414874,101.7014489
2022-03-01,63.64620961,69.32736271,99.25534235,109.9322502
2022-04-01,63.34046008,58.53751905,98.85467079,91.242009
2022-05-01,61.7117422,62.30049116,97.19913946,98.18891949
2022-06-01,63.05634453,62.45906041,99.28302371,97.92633356
2022-07-01,63.25621682,60.77094827,99.76007071,95.73053309
2022-08-01,64.79909464,63.71817383,102.1957016,99.62676899
2022-09-01,63.64044969,63.33629285,99.82996875,97.88539256
2022-10-01,60.35617898,59.83549114,95.57945216,93.65362472
2022-11-01,59.8797629,61.08659673,95.02647101,95.62906362
2022-12-01,60.19754661,59.66921388,94.31891161,93.88650648
