level,province_en,province_th,variable_en,variable_th,year,value
Provincial,Bangkok,กรุงเทพมหานคร,Occupancy Rate (%),อัตราการเข้าพัก,2022,46.59
Provincial,Bangkok,กรุงเทพมหานคร,Occupancy Rate (%),อัตราการเข้าพัก,2021,13.04
Provincial,Bangkok,กรุงเทพมหานคร,Occupancy Rate (%),อัตราการเข้าพัก,2020,28.2
Provincial,Bangkok,กรุงเทพมหานคร,Occupancy Rate (%),อัตราการเข้าพัก,2019,82.2
Provincial,Lopburi,ลพบุรี,Occupancy Rate (%),อัตราการเข้าพัก,2022,45.99
Provincial,Lopburi,ลพบุรี,Occupancy Rate (%),อัตราการเข้าพัก,2021,17.21
Provincial,Lopburi,ลพบุรี,Occupancy Rate (%),อัตราการเข้าพัก,2020,28.72
Provincial,Lopburi,ลพบุรี,Occupancy Rate (%),อัตราการเข้าพัก,2019,55.06
Provincial,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,Occupancy Rate (%),อัตราการเข้าพัก,2022,52.62
Provincial,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,Occupancy Rate (%),อัตราการเข้าพัก,2021,19.68
Provincial,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,Occupancy Rate (%),อัตราการเข้าพัก,2020,33.45
Provincial,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,Occupancy Rate (%),อัตราการเข้าพัก,2019,62.53
Provincial,Saraburi,สระบุรี,Occupancy Rate (%),อัตราการเข้าพัก,2022,45.7
Provincial,Saraburi,สระบุรี,Occupancy Rate (%),อัตราการเข้าพัก,2021,18.19
Provincial,Saraburi,สระบุรี,Occupancy Rate (%),อัตราการเข้าพัก,2020,31.02
Provincial,Saraburi,สระบุรี,Occupancy Rate (%),อัตราการเข้าพัก,2019,57.01
Provincial,Chai Nat,ชัยนาท,Occupancy Rate (%),อัตราการเข้าพัก,2022,40.43
Provincial,Chai Nat,ชัยนาท,Occupancy Rate (%),อัตราการเข้าพัก,2021,15.89
Provincial,Chai Nat,ชัยนาท,Occupancy Rate (%),อัตราการเข้าพัก,2020,30.62
Provincial,Chai Nat,ชัยนาท,Occupancy Rate (%),อัตราการเข้าพัก,2019,72.8
Provincial,Nakhon Pathom,นครปฐม,Occupancy Rate (%),อัตราการเข้าพัก,2022,44.93
Provincial,Nakhon Pathom,นครปฐม,Occupancy Rate (%),อัตราการเข้าพัก,2021,16.14
Provincial,Nakhon Pathom,นครปฐม,Occupancy Rate (%),อัตราการเข้าพัก,2020,32.9
Provincial,Nakhon Pathom,นครปฐม,Occupancy Rate (%),อัตราการเข้าพัก,2019,69.82
Provincial,Sing Buri,สิงห์บุรี,Occupancy Rate (%),อัตราการเข้าพัก,2022,37.92
Provincial,Sing Buri,สิงห์บุรี,Occupancy Rate (%),อัตราการเข้าพัก,2021,14.64
Provincial,Sing Buri,สิงห์บุรี,Occupancy Rate (%),อัตราการเข้าพัก,2020,25.66
Provincial,Sing Buri,สิงห์บุรี,Occupancy Rate (%),อัตราการเข้าพัก,2019,58.94
Provincial,Ang Thong,อ่างทอง,Occupancy Rate (%),อัตราการเข้าพัก,2022,31.16
Provincial,Ang Thong,อ่างทอง,Occupancy Rate (%),อัตราการเข้าพัก,2021,11.82
Provincial,Ang Thong,อ่างทอง,Occupancy Rate (%),อัตราการเข้าพัก,2020,20.38
Provincial,Ang Thong,อ่างทอง,Occupancy Rate (%),อัตราการเข้าพัก,2019,64.01
Provincial,Nonthaburi,นนทบุรี,Occupancy Rate (%),อัตราการเข้าพัก,2022,41.44
Provincial,Nonthaburi,นนทบุรี,Occupancy Rate (%),อัตราการเข้าพัก,2021,9.59
Provincial,Nonthaburi,นนทบุรี,Occupancy Rate (%),อัตราการเข้าพัก,2020,26.8
Provincial,Nonthaburi,นนทบุรี,Occupancy Rate (%),อัตราการเข้าพัก,2019,64.6
Provincial,Pathum Thani,ปทุมธานี,Occupancy Rate (%),อัตราการเข้าพัก,2022,28.98
Provincial,Pathum Thani,ปทุมธานี,Occupancy Rate (%),อัตราการเข้าพัก,2021,9.2
Provincial,Pathum Thani,ปทุมธานี,Occupancy Rate (%),อัตราการเข้าพัก,2020,20.09
Provincial,Pathum Thani,ปทุมธานี,Occupancy Rate (%),อัตราการเข้าพัก,2019,53.41
Provincial,Samut Prakan,สมุทรปราการ,Occupancy Rate (%),อัตราการเข้าพัก,2022,33.72
Provincial,Samut Prakan,สมุทรปราการ,Occupancy Rate (%),อัตราการเข้าพัก,2021,7.79
Provincial,Samut Prakan,สมุทรปราการ,Occupancy Rate (%),อัตราการเข้าพัก,2020,21.03
Provincial,Samut Prakan,สมุทรปราการ,Occupancy Rate (%),อัตราการเข้าพัก,2019,62.58
Provincial,Samut Sakhon,สมุทรสาคร,Occupancy Rate (%),อัตราการเข้าพัก,2022,25.5
Provincial,Samut Sakhon,สมุทรสาคร,Occupancy Rate (%),อัตราการเข้าพัก,2021,6.27
Provincial,Samut Sakhon,สมุทรสาคร,Occupancy Rate (%),อัตราการเข้าพัก,2020,21.92
Provincial,Samut Sakhon,สมุทรสาคร,Occupancy Rate (%),อัตราการเข้าพัก,2019,57.99
Provincial,Chachoengsao,ฉะเชิงเทรา,Occupancy Rate (%),อัตราการเข้าพัก,2022,31.69
Provincial,Chachoengsao,ฉะเชิงเทรา,Occupancy Rate (%),อัตราการเข้าพัก,2021,8.99
Provincial,Chachoengsao,ฉะเชิงเทรา,Occupancy Rate (%),อัตราการเข้าพัก,2020,22.96
Provincial,Chachoengsao,ฉะเชิงเทรา,Occupancy Rate (%),อัตราการเข้าพัก,2019,56.86
Provincial,Ratchaburi,ราชบุรี,Occupancy Rate (%),อัตราการเข้าพัก,2022,50.64
Provincial,Ratchaburi,ราชบุรี,Occupancy Rate (%),อัตราการเข้าพัก,2021,19.25
Provincial,Ratchaburi,ราชบุรี,Occupancy Rate (%),อัตราการเข้าพัก,2020,36.33
Provincial,Ratchaburi,ราชบุรี,Occupancy Rate (%),อัตราการเข้าพัก,2019,56.89
Provincial,Kanchanaburi,กาญจนบุรี,Occupancy Rate (%),อัตราการเข้าพัก,2022,58.45
Provincial,Kanchanaburi,กาญจนบุรี,Occupancy Rate (%),อัตราการเข้าพัก,2021,22.63
Provincial,Kanchanaburi,กาญจนบุรี,Occupancy Rate (%),อัตราการเข้าพัก,2020,42.55
Provincial,Kanchanaburi,กาญจนบุรี,Occupancy Rate (%),อัตราการเข้าพัก,2019,69.34
Provincial,Samut Songkhram,สมุทรสงคราม,Occupancy Rate (%),อัตราการเข้าพัก,2022,45.7
Provincial,Samut Songkhram,สมุทรสงคราม,Occupancy Rate (%),อัตราการเข้าพัก,2021,13.01
Provincial,Samut Songkhram,สมุทรสงคราม,Occupancy Rate (%),อัตราการเข้าพัก,2020,38.48
Provincial,Samut Songkhram,สมุทรสงคราม,Occupancy Rate (%),อัตราการเข้าพัก,2019,64.14
Provincial,Suphan Buri,สุพรรณบุรี,Occupancy Rate (%),อัตราการเข้าพัก,2022,48.15
Provincial,Suphan Buri,สุพรรณบุรี,Occupancy Rate (%),อัตราการเข้าพัก,2021,17.26
Provincial,Suphan Buri,สุพรรณบุรี,Occupancy Rate (%),อัตราการเข้าพัก,2020,41.42
Provincial,Suphan Buri,สุพรรณบุรี,Occupancy Rate (%),อัตราการเข้าพัก,2019,79.02
Provincial,Phetchaburi,เพชรบุรี,Occupancy Rate (%),อัตราการเข้าพัก,2022,61.3
Provincial,Phetchaburi,เพชรบุรี,Occupancy Rate (%),อัตราการเข้าพัก,2021,24.58
Provincial,Phetchaburi,เพชรบุรี,Occupancy Rate (%),อัตราการเข้าพัก,2020,41.52
Provincial,Phetchaburi,เพชรบุรี,Occupancy Rate (%),อัตราการเข้าพัก,2019,69
Provincial,Prachuap Khiri Khan,ประจวบคีรีขันธ์,Occupancy Rate (%),อัตราการเข้าพัก,2022,60.46
Provincial,Prachuap Khiri Khan,ประจวบคีรีขันธ์,Occupancy Rate (%),อัตราการเข้าพัก,2021,21.22
Provincial,Prachuap Khiri Khan,ประจวบคีรีขันธ์,Occupancy Rate (%),อัตราการเข้าพัก,2020,35.67
Provincial,Prachuap Khiri Khan,ประจวบคีรีขันธ์,Occupancy Rate (%),อัตราการเข้าพัก,2019,64.35
Provincial,Chonburi,ชลบุรี,Occupancy Rate (%),อัตราการเข้าพัก,2022,53.54
Provincial,Chonburi,ชลบุรี,Occupancy Rate (%),อัตราการเข้าพัก,2021,11.46
Provincial,Chonburi,ชลบุรี,Occupancy Rate (%),อัตราการเข้าพัก,2020,28.95
Provincial,Chonburi,ชลบุรี,Occupancy Rate (%),อัตราการเข้าพัก,2019,80.4
Provincial,Chanthaburi,จันทบุรี,Occupancy Rate (%),อัตราการเข้าพัก,2022,49.42
Provincial,Chanthaburi,จันทบุรี,Occupancy Rate (%),อัตราการเข้าพัก,2021,23.99
Provincial,Chanthaburi,จันทบุรี,Occupancy Rate (%),อัตราการเข้าพัก,2020,34.26
Provincial,Chanthaburi,จันทบุรี,Occupancy Rate (%),อัตราการเข้าพัก,2019,60.23
Provincial,Trat,ตราด,Occupancy Rate (%),อัตราการเข้าพัก,2022,40.78
Provincial,Trat,ตราด,Occupancy Rate (%),อัตราการเข้าพัก,2021,16.83
Provincial,Trat,ตราด,Occupancy Rate (%),อัตราการเข้าพัก,2020,32.46
Provincial,Trat,ตราด,Occupancy Rate (%),อัตราการเข้าพัก,2019,66.33
Provincial,Nakhon Nayok,นครนายก,Occupancy Rate (%),อัตราการเข้าพัก,2022,55.87
Provincial,Nakhon Nayok,นครนายก,Occupancy Rate (%),อัตราการเข้าพัก,2021,23.08
Provincial,Nakhon Nayok,นครนายก,Occupancy Rate (%),อัตราการเข้าพัก,2020,36.05
Provincial,Nakhon Nayok,นครนายก,Occupancy Rate (%),อัตราการเข้าพัก,2019,62.41
Provincial,Prachinburi,ปราจีนบุรี,Occupancy Rate (%),อัตราการเข้าพัก,2022,36.62
Provincial,Prachinburi,ปราจีนบุรี,Occupancy Rate (%),อัตราการเข้าพัก,2021,17.46
Provincial,Prachinburi,ปราจีนบุรี,Occupancy Rate (%),อัตราการเข้าพัก,2020,31.88
Provincial,Prachinburi,ปราจีนบุรี,Occupancy Rate (%),อัตราการเข้าพัก,2019,57.69
Provincial,Rayong,ระยอง,Occupancy Rate (%),อัตราการเข้าพัก,2022,54.61
Provincial,Rayong,ระยอง,Occupancy Rate (%),อัตราการเข้าพัก,2021,20.22
Provincial,Rayong,ระยอง,Occupancy Rate (%),อัตราการเข้าพัก,2020,28.65
Provincial,Rayong,ระยอง,Occupancy Rate (%),อัตราการเข้าพัก,2019,69.91
Provincial,Sa Kaeo,สระแก้ว,Occupancy Rate (%),อัตราการเข้าพัก,2022,43.14
Provincial,Sa Kaeo,สระแก้ว,Occupancy Rate (%),อัตราการเข้าพัก,2021,14.09
Provincial,Sa Kaeo,สระแก้ว,Occupancy Rate (%),อัตราการเข้าพัก,2020,25.98
Provincial,Sa Kaeo,สระแก้ว,Occupancy Rate (%),อัตราการเข้าพัก,2019,56.11
Provincial,Phuket,ภูเก็ต,Occupancy Rate (%),อัตราการเข้าพัก,2022,47.82
Provincial,Phuket,ภูเก็ต,Occupancy Rate (%),อัตราการเข้าพัก,2021,7.75
Provincial,Phuket,ภูเก็ต,Occupancy Rate (%),อัตราการเข้าพัก,2020,19.47
Provincial,Phuket,ภูเก็ต,Occupancy Rate (%),อัตราการเข้าพัก,2019,75.25
Provincial,Phatthalung,พัทลุง,Occupancy Rate (%),อัตราการเข้าพัก,2022,40.13
Provincial,Phatthalung,พัทลุง,Occupancy Rate (%),อัตราการเข้าพัก,2021,11.71
Provincial,Phatthalung,พัทลุง,Occupancy Rate (%),อัตราการเข้าพัก,2020,33.31
Provincial,Phatthalung,พัทลุง,Occupancy Rate (%),อัตราการเข้าพัก,2019,65.07
Provincial,Trang,ตรัง,Occupancy Rate (%),อัตราการเข้าพัก,2022,42.12
Provincial,Trang,ตรัง,Occupancy Rate (%),อัตราการเข้าพัก,2021,14.88
Provincial,Trang,ตรัง,Occupancy Rate (%),อัตราการเข้าพัก,2020,27.31
Provincial,Trang,ตรัง,Occupancy Rate (%),อัตราการเข้าพัก,2019,62.1
Provincial,Ranong,ระนอง,Occupancy Rate (%),อัตราการเข้าพัก,2022,39.99
Provincial,Ranong,ระนอง,Occupancy Rate (%),อัตราการเข้าพัก,2021,9.66
Provincial,Ranong,ระนอง,Occupancy Rate (%),อัตราการเข้าพัก,2020,19.47
Provincial,Ranong,ระนอง,Occupancy Rate (%),อัตราการเข้าพัก,2019,57.85
Provincial,Chumphon,ชุมพร,Occupancy Rate (%),อัตราการเข้าพัก,2022,43.28
Provincial,Chumphon,ชุมพร,Occupancy Rate (%),อัตราการเข้าพัก,2021,13.46
Provincial,Chumphon,ชุมพร,Occupancy Rate (%),อัตราการเข้าพัก,2020,24.74
Provincial,Chumphon,ชุมพร,Occupancy Rate (%),อัตราการเข้าพัก,2019,60.64
Provincial,Pattani,ปัตตานี,Occupancy Rate (%),อัตราการเข้าพัก,2022,34.47
Provincial,Pattani,ปัตตานี,Occupancy Rate (%),อัตราการเข้าพัก,2021,12.5
Provincial,Pattani,ปัตตานี,Occupancy Rate (%),อัตราการเข้าพัก,2020,20.07
Provincial,Pattani,ปัตตานี,Occupancy Rate (%),อัตราการเข้าพัก,2019,51.89
Provincial,Yala,ยะลา,Occupancy Rate (%),อัตราการเข้าพัก,2022,58.25
Provincial,Yala,ยะลา,Occupancy Rate (%),อัตราการเข้าพัก,2021,12.98
Provincial,Yala,ยะลา,Occupancy Rate (%),อัตราการเข้าพัก,2020,26.41
Provincial,Yala,ยะลา,Occupancy Rate (%),อัตราการเข้าพัก,2019,51.93
